Date,^GSPC,^IXIC,^DJI,^RUT,^VIX,AAPL,MSFT,AMZN,GOOGL,TSLA,AAL,UAL,MAR,XOM,CVX,JPM,GS,GLD,TLT
2020-04-03,2488.64990234375,7373.080078125,21052.529296875,1052.050048828125,46.79999923706055,58.38549041748047,146.7317657470703,95.32949829101562,54.26075744628906,32.000667572021484,9.390000343322754,22.889999389648438,57.11143493652344,30.10272979736328,58.795101165771484,72.43439483642578,128.81980895996094,152.64999389648438,143.69500732421875
2020-04-06,2663.679931640625,7913.240234375,22679.990234375,1138.780029296875,45.2400016784668,63.47889709472656,157.64393615722656,99.87950134277344,58.754268646240234,34.41600036621094,9.5,24.020000457763672,68.2379150390625,31.0700626373291,62.928199768066406,77.09673309326172,138.72703552246094,156.8800048828125,143.31983947753906
2020-04-07,2659.409912109375,7887.259765625,22653.859375,1139.1700439453125,46.70000076293945,62.743675231933594,155.946044921875,100.58000183105469,58.722984313964844,36.36333465576172,10.220000267028809,24.479999542236328,71.36029815673828,31.661211013793945,63.343082427978516,78.11366271972656,145.5568389892578,156.0399932861328,141.81887817382812
2020-04-08,2749.97998046875,8090.89990234375,23433.5703125,1191.6600341796875,43.349998474121094,64.34955596923828,157.51034545898438,102.1500015258789,59.93661117553711,36.589332580566406,11.329999923706055,27.510000228881836,79.78009033203125,33.66498947143555,67.30399322509766,81.26785278320312,155.1483917236328,154.64999389648438,140.7870330810547
2020-04-09,2789.820068359375,8153.580078125,23719.369140625,1246.72998046875,41.66999816894531,64.81392669677734,157.51991271972656,102.13800048828125,59.91525650024414,38.20000076293945,12.510000228881836,31.5,78.60072326660156,33.11223220825195,65.99673461914062,88.55868530273438,161.54864501953125,158.69000244140625,141.04281616210938
2020-04-13,2761.6298828125,8192.419921875,23390.76953125,1212.0400390625,41.16999816894531,66.08605194091797,157.872802734375,108.44349670410156,60.10594177246094,43.39666748046875,11.5600004196167,28.90999984741211,75.48802185058594,32.82815933227539,66.46641540527344,84.62025451660156,157.09474182128906,161.41000366210938,139.75514221191406
2020-04-14,2846.06005859375,8515.740234375,23949.759765625,1237.3299560546875,37.7599983215332,69.42362213134766,165.68490600585938,114.16600036621094,62.82817077636719,47.32600021362305,11.949999809265137,30.899999618530273,79.92506408691406,32.57481384277344,66.23157501220703,82.302001953125,156.26185607910156,162.67999267578125,139.7210235595703
2020-04-15,2783.360107421875,8393.1796875,23504.349609375,1183.97998046875,40.84000015258789,68.78997039794922,163.9488983154297,115.38400268554688,62.43438720703125,48.65533447265625,12.289999961853027,31.860000610351562,78.04005432128906,31.07774543762207,64.57206726074219,78.2429428100586,156.51611328125,161.85000610351562,143.42214965820312
2020-04-16,2799.550048828125,8532.3603515625,23537.6796875,1178.0899658203125,40.11000061035156,69.33657836914062,168.87074279785156,120.40950012207031,62.44083786010742,49.680667877197266,11.069999694824219,28.209999084472656,77.71138763427734,30.05666732788086,62.6151008605957,75.2610855102539,155.21853637695312,161.7100067138672,145.0509490966797
2020-04-17,2874.56005859375,8650.1396484375,24242.490234375,1229.0999755859375,38.150001525878906,68.395751953125,170.3588104248047,118.75,63.5119514465332,50.259334564208984,11.569999694824219,29.079999923706055,81.45244598388672,33.18132400512695,68.23550415039062,82.02623748779297,160.87355041503906,158.57000732421875,143.1066436767578
