Date,GE
1999-10-29,116.92523956298828
1999-11-01,111.63988494873047
1999-11-02,111.31632232666016
1999-11-03,113.36573028564453
1999-11-04,113.79719543457031
1999-11-05,115.41514587402344
1999-11-08,115.63087463378906
1999-11-09,115.0915756225586
1999-11-10,115.63087463378906
1999-11-11,115.63087463378906
1999-11-12,116.81744384765625
1999-11-15,116.92523956298828
1999-11-16,120.4847640991211
1999-11-17,121.8331298828125
1999-11-18,120.26899719238281
1999-11-19,118.81285095214844
1999-11-22,120.97013854980469
1999-11-23,118.75887298583984
1999-11-24,118.11172485351562
1999-11-26,117.033203125
1999-11-29,114.87582397460938
1999-11-30,112.28705596923828
1999-12-01,116.06233215332031
1999-12-02,116.22412109375
1999-12-03,117.57246398925781
1999-12-06,118.421875
1999-12-07,120.80841064453125
1999-12-08,121.90052032470703
1999-12-09,123.88251495361328
1999-12-10,127.22642517089844
1999-12-13,128.41282653808594
1999-12-14,129.32972717285156
1999-12-15,124.52970886230469
1999-12-16,127.38813018798828
1999-12-17,131.0554962158203
1999-12-20,132.2555389404297
1999-12-21,136.1791229248047
1999-12-22,136.5878448486328
1999-12-23,136.263427734375
1999-12-27,137.9938201904297
1999-12-28,136.0471954345703
1999-12-29,135.4523468017578
1999-12-30,134.10049438476562
1999-12-31,133.8842315673828
2000-01-03,129.77474975585938
2000-01-04,124.58374786376953
2000-01-05,124.36742401123047
2000-01-06,126.03014373779297
2000-01-07,130.91030883789062
2000-01-10,130.85617065429688
2000-01-11,131.0724334716797
2000-01-12,131.50511169433594
2000-01-13,133.0190887451172
2000-01-14,130.639892578125
2000-01-18,128.0443572998047
2000-01-19,128.66624450683594
2000-01-20,126.26001739501953
2000-01-21,124.69189453125
2000-01-24,119.50086975097656
2000-01-25,119.82524871826172
2000-01-26,122.3667221069336
2000-01-27,122.6371078491211
2000-01-28,115.93204498291016
2000-01-31,115.93204498291016
2000-02-01,117.66241455078125
2000-02-02,115.9862060546875
2000-02-03,120.47418212890625
2000-02-04,122.47489166259766
2000-02-07,118.09496307373047
2000-02-08,118.58164978027344
2000-02-09,115.9862060546875
2000-02-10,117.17581176757812
2000-02-11,115.71578979492188
2000-02-14,116.25650787353516
2000-02-15,118.96013641357422
2000-02-16,117.36504364013672
2000-02-17,113.33658599853516
2000-02-18,108.25374603271484
2000-02-22,112.14695739746094
2000-02-23,112.90401458740234
2000-02-24,113.33658599853516
2000-02-25,109.1188735961914
2000-02-28,111.98472595214844
2000-02-29,114.52611541748047
2000-03-01,113.66102600097656
2000-03-02,117.01348876953125
2000-03-03,120.58229064941406
2000-03-06,119.25685119628906
2000-03-07,112.74900817871094
2000-03-08,113.074462890625
2000-03-09,111.93556213378906
2000-03-10,114.26750183105469
2000-03-13,112.31515502929688
2000-03-14,110.20008850097656
2000-03-15,115.8944320678711
2000-03-16,120.61266326904297
2000-03-17,121.37193298339844
2000-03-20,122.29388427734375
2000-03-21,130.59144592285156
2000-03-22,130.91685485839844
2000-03-23,138.8347625732422
2000-03-24,138.02127075195312
2000-03-27,137.04510498046875
2000-03-28,135.36392211914062
2000-03-29,141.43789672851562
2000-03-30,137.7501678466797
2000-03-31,135.0385284423828
2000-04-03,139.7024383544922
2000-04-04,133.62843322753906
2000-04-05,133.03189086914062
2000-04-06,136.12318420410156
2000-04-07,137.8043975830078
2000-04-10,138.34669494628906
2000-04-11,140.24484252929688
2000-04-12,136.01470947265625
2000-04-13,130.59144592285156
2000-04-14,126.46980285644531
2000-04-17,131.89303588867188
2000-04-18,135.79783630371094
2000-04-19,134.9300537109375
2000-04-20,137.5332489013672
2000-04-24,140.62435913085938
2000-04-25,144.0411376953125
2000-04-26,141.65484619140625
2000-04-27,140.1364288330078
2000-04-28,136.4486083984375
2000-05-01,138.29241943359375
2000-05-02,139.75669860839844
2000-05-03,135.4181365966797
2000-05-04,133.62843322753906
2000-05-05,137.0994110107422
2000-05-08,136.5027618408203
2000-05-09,135.6893310546875
2000-05-10,131.78457641601562
2000-05-11,132.5980682373047
2000-05-12,136.01470947265625
2000-05-15,140.57017517089844
2000-05-16,141.2209014892578
2000-05-17,139.59400939941406
2000-05-18,138.29241943359375
2000-05-19,135.0385284423828
2000-05-22,130.15762329101562
2000-05-23,130.15762329101562
2000-05-24,132.10995483398438
2000-05-25,132.10995483398438
2000-05-26,129.01878356933594
2000-05-30,133.41156005859375
2000-05-31,136.99082946777344
2000-06-01,136.3401336669922
2000-06-02,137.31629943847656
2000-06-05,134.22496032714844
2000-06-06,133.24879455566406
2000-06-07,133.73695373535156
2000-06-08,132.4353485107422
2000-06-09,129.83224487304688
2000-06-12,129.83224487304688
2000-06-13,133.24879455566406
2000-06-14,132.76071166992188
2000-06-15,135.0385284423828
2000-06-16,133.08619689941406
2000-06-19,130.80841064453125
2000-06-20,132.76071166992188
2000-06-21,128.69332885742188
2000-06-22,126.90365600585938
2000-06-23,129.83224487304688
2000-06-26,129.9949188232422
2000-06-27,128.2052459716797
2000-06-28,131.5812530517578
2000-06-29,129.50685119628906
2000-06-30,137.967041015625
2000-07-03,135.36392211914062
2000-07-05,130.33831787109375
2000-07-06,130.99075317382812
2000-07-07,133.92713928222656
2000-07-10,136.86331176757812
2000-07-11,136.37399291992188
2000-07-12,140.2889862060547
2000-07-13,137.02647399902344
2000-07-14,134.41647338867188
2000-07-17,140.12591552734375
2000-07-18,136.37399291992188
2000-07-19,137.67898559570312
2000-07-20,141.7572021484375
2000-07-21,141.26779174804688
2000-07-24,140.94151306152344
2000-07-25,139.7996063232422
2000-07-26,136.04779052734375
2000-07-27,137.02647399902344
2000-07-28,132.9483642578125
2000-07-31,134.90586853027344
2000-08-01,137.67898559570312
2000-08-02,135.72154235839844
2000-08-03,138.00527954101562
2000-08-04,139.31027221679688
2000-08-07,137.35272216796875
2000-08-08,140.2889862060547
2000-08-09,145.9984588623047
2000-08-10,148.77163696289062
2000-08-11,147.62979125976562
2000-08-14,148.77163696289062
2000-08-15,149.4241180419922
2000-08-16,148.2822723388672
2000-08-17,147.95599365234375
2000-08-18,146.65098571777344
2000-08-21,147.62979125976562
2000-08-22,146.8141632080078
2000-08-23,151.21852111816406
2000-08-24,153.82861328125
2000-08-25,154.64414978027344
2000-08-28,156.60165405273438
2000-08-29,156.2754669189453
2000-08-30,150.07666015625
2000-08-31,153.01292419433594
2000-09-01,152.68666076660156
2000-09-05,150.8922576904297
2000-09-06,153.9917449951172
2000-09-07,153.9917449951172
2000-09-08,156.2754669189453
2000-09-11,155.78611755371094
2000-09-12,154.15481567382812
2000-09-13,154.15481567382812
2000-09-14,153.9917449951172
2000-09-15,148.11911010742188
2000-09-18,150.07666015625
2000-09-19,148.77163696289062
2000-09-20,147.79286193847656
2000-09-21,146.8141632080078
2000-09-22,149.58729553222656
2000-09-25,151.54476928710938
2000-09-26,151.381591796875
2000-09-27,155.133544921875
